state_name,state_url,data_collection_date,polling_units,submitted_results
ABIA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=1,2023-03-13 00:29:11,176846,166277
ADAMAWA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=2,2023-03-13 00:29:11,176846,166277
AKWA IBOM,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=3,2023-03-13 00:29:11,176846,166277
ANAMBRA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=4,2023-03-13 00:29:11,176846,166277
BAUCHI,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=5,2023-03-13 00:29:11,176846,166277
BAYELSA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=6,2023-03-13 00:29:11,176846,166277
BENUE,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=7,2023-03-13 00:29:11,176846,166277
BORNO,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=8,2023-03-13 00:29:11,176846,166277
CROSS RIVER,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=9,2023-03-13 00:29:11,176846,166277
DELTA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=10,2023-03-13 00:29:11,176846,166277
EBONYI,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=11,2023-03-13 00:29:11,176846,166277
EDO,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=12,2023-03-13 00:29:11,176846,166277
EKITI,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=13,2023-03-13 00:29:11,176846,166277
ENUGU,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=14,2023-03-13 00:29:11,176846,166277
FCT,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=15,2023-03-13 00:29:11,176846,166277
GOMBE,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=16,2023-03-13 00:29:11,176846,166277
IMO,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=17,2023-03-13 00:29:11,176846,166277
JIGAWA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=18,2023-03-13 00:29:11,176846,166277
KADUNA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=19,2023-03-13 00:29:11,176846,166277
KANO,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=20,2023-03-13 00:29:11,176846,166277
KATSINA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=21,2023-03-13 00:29:11,176846,166277
KEBBI,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=22,2023-03-13 00:29:11,176846,166277
KOGI,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=23,2023-03-13 00:29:11,176846,166277
KWARA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=24,2023-03-13 00:29:11,176846,166277
LAGOS,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=25,2023-03-13 00:29:11,176846,166277
NASARAWA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=26,2023-03-13 00:29:11,176846,166277
NIGER,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=27,2023-03-13 00:29:11,176846,166277
OGUN,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=28,2023-03-13 00:29:11,176846,166277
ONDO,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=29,2023-03-13 00:29:11,176846,166277
OSUN,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=30,2023-03-13 00:29:11,176846,166277
OYO,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=31,2023-03-13 00:29:11,176846,166277
PLATEAU,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=32,2023-03-13 00:29:11,176846,166277
RIVERS,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=33,2023-03-13 00:29:11,176846,166277
SOKOTO,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=34,2023-03-13 00:29:11,176846,166277
TARABA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=35,2023-03-13 00:29:11,176846,166277
YOBE,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=36,2023-03-13 00:29:11,176846,166277
ZAMFARA,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213?state=37,2023-03-13 00:29:11,176846,166277
