state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,number_of_polling_units,submitted_results,polling_station_status,ward_url
YOBE,166094,176846,JAKUSKO,BUDUWA / SAMINAKA (Ward: 01) - YOBE,13,2.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3a8f77bb3acad0af13
YOBE,166094,176846,JAKUSKO,DUMBARI (Ward: 02) - YOBE,17,13.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3a8f77bb3acad0af14
YOBE,166094,176846,JAKUSKO,GIDGID / BAYAM (Ward: 03) - YOBE,18,7.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3a8f77bb3acad0af15
YOBE,166094,176846,JAKUSKO,GOGARAM (Ward: 04) - YOBE,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3a8f77bb3acad0af16
YOBE,166094,176846,JAKUSKO,JABA (Ward: 05) - YOBE,9,4.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3a8f77bb3acad0af17
YOBE,166094,176846,JAKUSKO,JAKUSKO (Ward: 06) - YOBE,21,,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3a8f77bb3acad0af18
YOBE,166094,176846,JAKUSKO,JAWUR/KATAMMA (Ward: 07) - YOBE,20,20.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3b8f77bb3acad0af19
YOBE,166094,176846,JAKUSKO,LAFIYA LOI-LOI (Ward: 08) - YOBE,16,16.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3b8f77bb3acad0af1a
YOBE,166094,176846,JAKUSKO,MUGURAM (Ward: 09) - YOBE,12,12.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3b8f77bb3acad0af1b
YOBE,166094,176846,JAKUSKO,ZABUDUM / DACHIA (Ward: 10) - YOBE,22,22.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3af/ward/5f0f3f3b8f77bb3acad0af1c
YOBE,166094,176846,GULANI,BARA (Ward: 01) - YOBE,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f388f77bb3acad0af07
YOBE,166094,176846,GULANI,BORNO KIJI/TETTEBA (Ward: 02) - YOBE,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f388f77bb3acad0af08
YOBE,166094,176846,GULANI,BULARAFA (Ward: 03) - YOBE,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f388f77bb3acad0af09
YOBE,166094,176846,GULANI,BUMSA (Ward: 04) - YOBE,14,13.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f388f77bb3acad0af0a
YOBE,166094,176846,GULANI,DOKSHI (Ward: 05) - YOBE,7,7.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f388f77bb3acad0af0b
YOBE,166094,176846,GULANI,GABAI (Ward: 06) - YOBE,12,12.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f398f77bb3acad0af0c
YOBE,166094,176846,GULANI,GAGURE (Ward: 07) - YOBE,10,10.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f398f77bb3acad0af0d
YOBE,166094,176846,GULANI,GARIN TUWO (Ward: 08) - YOBE,11,11.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f398f77bb3acad0af0e
YOBE,166094,176846,GULANI,GULANI (Ward: 09) - YOBE,6,6.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f398f77bb3acad0af0f
YOBE,166094,176846,GULANI,KUSHIMAGA (Ward: 10) - YOBE,6,6.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f398f77bb3acad0af10
YOBE,166094,176846,GULANI,NJIBULWA (Ward: 11) - YOBE,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f398f77bb3acad0af11
YOBE,166094,176846,GULANI,RUHU (Ward: 12) - YOBE,9,9.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f39ac4d89fc3a883de3ae/ward/5f0f3f3a8f77bb3acad0af12
ADAMAWA,166094,176846,DEMSA,BILLE (Ward: 01) - ADAMAWA,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a548f77bb3acad08e51
ADAMAWA,166094,176846,DEMSA,BORRONG (Ward: 02) - ADAMAWA,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a548f77bb3acad08e52
ADAMAWA,166094,176846,DEMSA,DEMSA (Ward: 03) - ADAMAWA,32,32.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a548f77bb3acad08e53
ADAMAWA,166094,176846,DEMSA,DILLI (Ward: 04) - ADAMAWA,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a548f77bb3acad08e54
ADAMAWA,166094,176846,DEMSA,DONG (Ward: 05) - ADAMAWA,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a558f77bb3acad08e55
ADAMAWA,166094,176846,DEMSA,DWAM (Ward: 06) - ADAMAWA,16,16.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a558f77bb3acad08e56
ADAMAWA,166094,176846,DEMSA,GWAMBA (Ward: 07) - ADAMAWA,11,11.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a558f77bb3acad08e57
ADAMAWA,166094,176846,DEMSA,KPASHAM (Ward: 08) - ADAMAWA,26,26.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a558f77bb3acad08e58
ADAMAWA,166094,176846,DEMSA,MBULA KULI (Ward: 09) - ADAMAWA,17,17.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a558f77bb3acad08e59
ADAMAWA,166094,176846,DEMSA,NASSARAWO DEMSA (Ward: 10) - ADAMAWA,20,20.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0d1/ward/5f0f3a558f77bb3acad08e5a
ADAMAWA,166094,176846,YOLA SOUTH,ADARAWO (Ward: 01) - ADAMAWA,24,24.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a738f77bb3acad08f28
ADAMAWA,166094,176846,YOLA SOUTH,BAKO (Ward: 02) - ADAMAWA,23,23.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a738f77bb3acad08f29
ADAMAWA,166094,176846,YOLA NORTH,ALKALAWA (Ward: 01) - ADAMAWA,31,31.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a718f77bb3acad08f1d
ADAMAWA,166094,176846,YOLA SOUTH,BOLE YOLDE PATE (Ward: 03) - ADAMAWA,40,40.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a738f77bb3acad08f2a
ADAMAWA,166094,176846,YOLA NORTH,AJIYA (Ward: 02) - ADAMAWA,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a718f77bb3acad08f1e
ADAMAWA,166094,176846,YOLA SOUTH,NAMTARI (Ward: 04) - ADAMAWA,27,27.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a738f77bb3acad08f2b
ADAMAWA,166094,176846,YOLA NORTH,DOUBELI (Ward: 03) - ADAMAWA,59,59.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a718f77bb3acad08f1f
ADAMAWA,166094,176846,YOLA SOUTH,NGURORE (Ward: 05) - ADAMAWA,31,31.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a738f77bb3acad08f2c
ADAMAWA,166094,176846,YOLA NORTH,GWADABAWA (Ward: 04) - ADAMAWA,32,32.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a728f77bb3acad08f20
ADAMAWA,166094,176846,YOLA SOUTH,MAKAMA 'A' (Ward: 06) - ADAMAWA,30,30.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a738f77bb3acad08f2d
ADAMAWA,166094,176846,YOLA NORTH,JAMBUTU (Ward: 05) - ADAMAWA,48,48.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a728f77bb3acad08f21
ADAMAWA,166094,176846,YOLA SOUTH,MAKAMA 'B' (Ward: 07) - ADAMAWA,23,23.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a748f77bb3acad08f2e
ADAMAWA,166094,176846,YOLA NORTH,KAREWA (Ward: 06) - ADAMAWA,60,60.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a728f77bb3acad08f22
ADAMAWA,166094,176846,YOLA NORTH,LIMAWA (Ward: 07) - ADAMAWA,26,26.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a728f77bb3acad08f23
ADAMAWA,166094,176846,YOLA NORTH,LUGGERE (Ward: 08) - ADAMAWA,28,27.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a728f77bb3acad08f24
ADAMAWA,166094,176846,YOLA SOUTH,MBAMBA (Ward: 08) - ADAMAWA,22,22.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a748f77bb3acad08f2f
ADAMAWA,166094,176846,YOLA SOUTH,MBAMOI (Ward: 09) - ADAMAWA,17,17.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a748f77bb3acad08f30
ADAMAWA,166094,176846,YOLA SOUTH,TOUNGO (Ward: 10) - ADAMAWA,20,20.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a748f77bb3acad08f31
ADAMAWA,166094,176846,YOLA NORTH,NASSARAWO (Ward: 09) - ADAMAWA,41,41.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a728f77bb3acad08f25
ADAMAWA,166094,176846,YOLA NORTH,RUMDE (Ward: 10) - ADAMAWA,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a728f77bb3acad08f26
ADAMAWA,166094,176846,YOLA NORTH,YELWA (Ward: 11) - ADAMAWA,22,22.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e4/ward/5f0f3a738f77bb3acad08f27
ADAMAWA,166094,176846,YOLA SOUTH,YOLDE KOHI (Ward: 11) - ADAMAWA,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e5/ward/5f0f3a748f77bb3acad08f32
ADAMAWA,166094,176846,TOUNGO,DAWO I (Ward: 01) - ADAMAWA,9,9.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a708f77bb3acad08f13
ADAMAWA,166094,176846,TOUNGO,DAWO II (Ward: 02) - ADAMAWA,10,10.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a708f77bb3acad08f14
ADAMAWA,166094,176846,TOUNGO,GUMTI (Ward: 03) - ADAMAWA,9,9.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a708f77bb3acad08f15
ADAMAWA,166094,176846,TOUNGO,KIRI I (Ward: 04) - ADAMAWA,11,11.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a708f77bb3acad08f16
ADAMAWA,166094,176846,TOUNGO,KIRI II (Ward: 05) - ADAMAWA,8,8.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a708f77bb3acad08f17
ADAMAWA,166094,176846,TOUNGO,KONGIN BABA I (Ward: 06) - ADAMAWA,5,5.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a708f77bb3acad08f18
ADAMAWA,166094,176846,SHELLENG,BAKTA (Ward: 01) - ADAMAWA,6,6.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6d8f77bb3acad08efe
ADAMAWA,166094,176846,SHELLENG,BODWAI (Ward: 02) - ADAMAWA,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6d8f77bb3acad08eff
ADAMAWA,166094,176846,SHELLENG,GUNDO (Ward: 03) - ADAMAWA,19,19.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6d8f77bb3acad08f00
ADAMAWA,166094,176846,TOUNGO,KONGIN BABA II (Ward: 07) - ADAMAWA,5,5.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a718f77bb3acad08f19
ADAMAWA,166094,176846,TOUNGO,TOUNGO I (Ward: 08) - ADAMAWA,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a718f77bb3acad08f1a
ADAMAWA,166094,176846,SHELLENG,GWAPOPOLOK (Ward: 04) - ADAMAWA,8,8.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6d8f77bb3acad08f01
ADAMAWA,166094,176846,SHELLENG,JUMBUL (Ward: 05) - ADAMAWA,11,11.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6d8f77bb3acad08f02
ADAMAWA,166094,176846,SHELLENG,KETEMBERE (Ward: 06) - ADAMAWA,12,12.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6e8f77bb3acad08f03
ADAMAWA,166094,176846,TOUNGO,TOUNGO II (Ward: 09) - ADAMAWA,16,16.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a718f77bb3acad08f1b
ADAMAWA,166094,176846,TOUNGO,TOUNGO III (Ward: 10) - ADAMAWA,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e3/ward/5f0f3a718f77bb3acad08f1c
ADAMAWA,166094,176846,SHELLENG,KIRI (Ward: 07) - ADAMAWA,9,9.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6e8f77bb3acad08f04
ADAMAWA,166094,176846,SHELLENG,LIBBO (Ward: 08) - ADAMAWA,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6e8f77bb3acad08f05
ADAMAWA,166094,176846,SHELLENG,SHELLENG (Ward: 09) - ADAMAWA,25,25.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6e8f77bb3acad08f06
ADAMAWA,166094,176846,SHELLENG,TALLUM (Ward: 10) - ADAMAWA,6,6.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e1/ward/5f0f3a6e8f77bb3acad08f07
ADAMAWA,166094,176846,MAYO - BELWA,BAJAMA (Ward: 01) - ADAMAWA,10,10.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a648f77bb3acad08ec3
ADAMAWA,166094,176846,MAYO - BELWA,BINYERI (Ward: 02) - ADAMAWA,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a658f77bb3acad08ec4
ADAMAWA,166094,176846,MUBI SOUTH,DIRBISHI/GANDIRA (Ward: 01) - ADAMAWA,7,7.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6a8f77bb3acad08eea
ADAMAWA,166094,176846,MUBI SOUTH,DUVU/ CHABA/ GIRBURUM (Ward: 02) - ADAMAWA,9,9.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6a8f77bb3acad08eeb
ADAMAWA,166094,176846,MUBI SOUTH,GELLA (Ward: 03) - ADAMAWA,8,7.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6a8f77bb3acad08eec
ADAMAWA,166094,176846,MAYO - BELWA,GANGFADA (Ward: 03) - ADAMAWA,14,1.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a658f77bb3acad08ec5
ADAMAWA,166094,176846,MAYO - BELWA,GENGLE (Ward: 04) - ADAMAWA,12,12.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a658f77bb3acad08ec6
ADAMAWA,166094,176846,MUBI SOUTH,GUDE (Ward: 04) - ADAMAWA,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6a8f77bb3acad08eed
ADAMAWA,166094,176846,MUBI SOUTH,KWAJA (Ward: 05) - ADAMAWA,7,7.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6a8f77bb3acad08eee
ADAMAWA,166094,176846,MUBI SOUTH,LAMORDE (Ward: 06) - ADAMAWA,31,31.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6b8f77bb3acad08eef
ADAMAWA,166094,176846,MAYO - BELWA,GOROBI (Ward: 05) - ADAMAWA,13,12.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a658f77bb3acad08ec7
ADAMAWA,166094,176846,MAYO - BELWA,MAYO-BELWA (Ward: 06) - ADAMAWA,51,51.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a658f77bb3acad08ec8
ADAMAWA,166094,176846,MAYO - BELWA,MAYO FARANG (Ward: 07) - ADAMAWA,22,22.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a658f77bb3acad08ec9
ADAMAWA,166094,176846,MUBI SOUTH,MUJARA (Ward: 07) - ADAMAWA,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6b8f77bb3acad08ef0
ADAMAWA,166094,176846,MUBI SOUTH,MUGULBU/ YADAFA (Ward: 08) - ADAMAWA,10,10.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6b8f77bb3acad08ef1
ADAMAWA,166094,176846,MUBI SOUTH,NASSARAWO (Ward: 09) - ADAMAWA,33,33.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6b8f77bb3acad08ef2
ADAMAWA,166094,176846,MAYO - BELWA,NASSARAWO JERENG (Ward: 08) - ADAMAWA,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a658f77bb3acad08eca
ADAMAWA,166094,176846,MAYO - BELWA,NDIKONG (Ward: 09) - ADAMAWA,16,11.0,Not Complete,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a668f77bb3acad08ecb
ADAMAWA,166094,176846,MAYO - BELWA,RIBADU (Ward: 10) - ADAMAWA,8,8.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a668f77bb3acad08ecc
ADAMAWA,166094,176846,MUBI SOUTH,NDUKU (Ward: 10) - ADAMAWA,9,9.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0df/ward/5f0f3a6b8f77bb3acad08ef3
ADAMAWA,166094,176846,MAYO - BELWA,TOLA (Ward: 11) - ADAMAWA,18,18.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a668f77bb3acad08ecd
ADAMAWA,166094,176846,MAYO - BELWA,YOFFO (Ward: 12) - ADAMAWA,15,15.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397c4d89fc3a883de0dc/ward/5f0f3a668f77bb3acad08ece
ADAMAWA,166094,176846,SONG,DIRMA (Ward: 01) - ADAMAWA,19,19.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e2/ward/5f0f3a6e8f77bb3acad08f08
ADAMAWA,166094,176846,SONG,DUMNE (Ward: 02) - ADAMAWA,24,24.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e2/ward/5f0f3a6e8f77bb3acad08f09
ADAMAWA,166094,176846,MUBI NORTH,BAHULI (Ward: 01) - ADAMAWA,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0de/ward/5f0f3a688f77bb3acad08edf
ADAMAWA,166094,176846,MUBI NORTH,BETSO (Ward: 02) - ADAMAWA,13,13.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0de/ward/5f0f3a688f77bb3acad08ee0
ADAMAWA,166094,176846,SONG,GUDU MBOI (Ward: 03) - ADAMAWA,10,10.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e2/ward/5f0f3a6f8f77bb3acad08f0a
ADAMAWA,166094,176846,SONG,KILANGE FUNA (Ward: 04) - ADAMAWA,14,14.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e2/ward/5f0f3a6f8f77bb3acad08f0b
ADAMAWA,166094,176846,SONG,KILANGE HIRNA (Ward: 05) - ADAMAWA,10,10.0,Completed,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/pus/lga/5f0f397d4d89fc3a883de0e2/ward/5f0f3a6f8f77bb3acad08f0c
